id,name,parent_id/id
opensim.product_category_8_152e1b92,Beans,
opensim.product_category_10_5f8f81be,Decaffeinated Beans,opensim.product_category_8_152e1b92
opensim.product_category_11_4799a055,Green Beans,opensim.product_category_8_152e1b92
opensim.product_category_12_aba40bb3,Grinded,opensim.product_category_8_152e1b92
opensim.product_category_13_2a73e961,Roasted Beans,opensim.product_category_8_152e1b92
opensim.product_category_5_3274bb7c,Pack,
opensim.product_category_14_57e8b553,Coffee Pods,opensim.product_category_5_3274bb7c
opensim.product_category_6_2f830da6,Ground Coffee Packs,opensim.product_category_5_3274bb7c
opensim.product_category_7_8347a49e,Whole Bean Coffee Packs,opensim.product_category_5_3274bb7c
opensim.product_category_15_3d214e06,Whole Beans Coffee Bags,opensim.product_category_5_3274bb7c
opensim.product_category_9_7204296b,Packaging,
opensim.product_category_4_56b5c6c8,Bags,opensim.product_category_9_7204296b
opensim.product_category_3_0f76257c,Pods,opensim.product_category_9_7204296b
opensim.product_category_16_1b28f077,Marketing,
